# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.540000 2.7578235200e-04 2.7197170000e-02 9.7252705000e-01 2.7503870500e-04 1.6742510000e-02 9.8298246000e-01
1.550000 2.8397450700e-04 2.8354370000e-02 9.7136166000e-01 2.8400870800e-04 1.6953870000e-02 9.8276212000e-01
1.560000 2.9229066200e-04 2.9569740000e-02 9.7013797000e-01 2.9314324900e-04 1.7238180000e-02 9.8246868000e-01
1.570000 3.0072904500e-04 3.0843600000e-02 9.6885567000e-01 3.0244039800e-04 1.7597090000e-02 9.8210047000e-01
1.580000 3.0928799200e-04 3.2176280000e-02 9.6751443000e-01 3.1189844400e-04 1.8032110000e-02 9.8165600000e-01
1.590000 3.1796551900e-04 3.3567940000e-02 9.6611409000e-01 3.2151509500e-04 1.8544670000e-02 9.8113381000e-01
1.600000 3.2675977300e-04 3.5018900000e-02 9.6465434000e-01 3.3128822500e-04 1.9136210000e-02 9.8053250000e-01
1.610000 3.3566851700e-04 3.6529230000e-02 9.6313510000e-01 3.4121509600e-04 1.9808000000e-02 9.7985078000e-01
1.620000 3.4468974300e-04 3.8099120000e-02 9.6155619000e-01 3.5129328800e-04 2.0561260000e-02 9.7908744000e-01
1.630000 3.5382108500e-04 3.9728660000e-02 9.5991752000e-01 3.6151973400e-04 2.1397150000e-02 9.7824133000e-01
1.640000 3.6306023000e-04 4.1417890000e-02 9.5821905000e-01 3.7189146800e-04 2.2316720000e-02 9.7731139000e-01
1.650000 3.7240472000e-04 4.3166810000e-02 9.5646078000e-01 3.8240524400e-04 2.3320900000e-02 9.7629669000e-01
1.660000 3.8185200300e-04 4.4975440000e-02 9.5464271000e-01 3.9305759800e-04 2.4410610000e-02 9.7519633000e-01
1.670000 3.9139948500e-04 4.6843690000e-02 9.5276491000e-01 4.0384499700e-04 2.5586620000e-02 9.7400954000e-01
1.680000 4.0104441400e-04 4.8771430000e-02 9.5082753000e-01 4.1476361200e-04 2.6849590000e-02 9.7273565000e-01
1.690000 4.1078408800e-04 5.0758610000e-02 9.4883061000e-01 4.2580964500e-04 2.8200180000e-02 9.7137401000e-01
1.700000 4.2061551600e-04 5.2804920000e-02 9.4677447000e-01 4.3697878200e-04 2.9638800000e-02 9.6992422000e-01
1.710000 4.3053587900e-04 5.4910270000e-02 9.4465920000e-01 4.4826705400e-04 3.1165950000e-02 9.6838578000e-01
1.720000 4.4054202400e-04 5.7074270000e-02 9.4248518000e-01 4.5966975700e-04 3.2781850000e-02 9.6675848000e-01
1.730000 4.5063103900e-04 5.9296790000e-02 9.4025258000e-01 4.7118269000e-04 3.4486790000e-02 9.6504202000e-01
1.740000 4.6079958000e-04 6.1577290000e-02 9.3796191000e-01 4.8280084900e-04 3.6280780000e-02 9.6323642000e-01
1.750000 4.7104458900e-04 6.3915590000e-02 9.3561337000e-01 4.9451969400e-04 3.8163930000e-02 9.6134155000e-01
1.760000 4.8136267800e-04 6.6311140000e-02 9.3320750000e-01 5.0633410900e-04 4.0136070000e-02 9.5935759000e-01
1.770000 4.9175057400e-04 6.8763550000e-02 9.3074470000e-01 5.1823917400e-04 4.2197060000e-02 9.5728470000e-01
1.780000 5.0220484900e-04 7.1272320000e-02 9.2822547000e-01 5.3022965200e-04 4.4346600000e-02 9.5512317000e-01
1.790000 5.1272206800e-04 7.3836920000e-02 9.2565036000e-01 5.4230030900e-04 4.6584290000e-02 9.5287340000e-01
1.800000 5.2329883500e-04 7.6456840000e-02 9.2301986000e-01 5.5444596100e-04 4.8909730000e-02 9.5053582000e-01
1.810000 5.3393142600e-04 7.9131370000e-02 9.2033470000e-01 5.6666086500e-04 5.1322210000e-02 9.4811113000e-01
