# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
1.990000 5.0702798200e-04 2.2838482000e-01 7.7110815000e-01 5.0550515400e-04 2.3105394000e-01 7.6844055000e-01
2.000000 5.1336083700e-04 2.3182058000e-01 7.6766606000e-01 5.1186512300e-04 2.3441586000e-01 7.6507228000e-01
2.010000 5.1966454500e-04 2.3525590000e-01 7.6422443000e-01 5.1820032100e-04 2.3777837000e-01 7.6170343000e-01
2.020000 5.2593815900e-04 2.3868985000e-01 7.6078421000e-01 5.2450971700e-04 2.4114066000e-01 7.5833483000e-01
2.030000 5.3218042600e-04 2.4212177000e-01 7.5734605000e-01 5.3079197800e-04 2.4450220000e-01 7.5496701000e-01
2.040000 5.3839019600e-04 2.4555084000e-01 7.5391077000e-01 5.3704586400e-04 2.4786224000e-01 7.5160071000e-01
2.050000 5.4456657300e-04 2.4897635000e-01 7.5047908000e-01 5.4327037800e-04 2.5122019000e-01 7.4823654000e-01
2.060000 5.5070856300e-04 2.5239723000e-01 7.4705207000e-01 5.4946442400e-04 2.5457507000e-01 7.4487547000e-01
2.070000 5.5681513900e-04 2.5581276000e-01 7.4363042000e-01 5.5562686800e-04 2.5792625000e-01 7.4151812000e-01
2.080000 5.6288554500e-04 2.5922232000e-01 7.4021480000e-01 5.6175683800e-04 2.6127319000e-01 7.3816505000e-01
2.090000 5.6891883700e-04 2.6262523000e-01 7.3680585000e-01 5.6785327500e-04 2.6461529000e-01 7.3481685000e-01
2.100000 5.7491412000e-04 2.6602087000e-01 7.3340421000e-01 5.7391517000e-04 2.6795198000e-01 7.3147410000e-01
2.110000 5.8087071900e-04 2.6940864000e-01 7.3001049000e-01 5.7994171700e-04 2.7128274000e-01 7.2813732000e-01
2.120000 5.8678785500e-04 2.7278796000e-01 7.2662525000e-01 5.8593201400e-04 2.7460704000e-01 7.2480703000e-01
2.130000 5.9266471800e-04 2.7615824000e-01 7.2324910000e-01 5.9188512300e-04 2.7792433000e-01 7.2148379000e-01
2.140000 5.9850080100e-04 2.7951896000e-01 7.1988254000e-01 5.9780040200e-04 2.8123416000e-01 7.1816804000e-01
2.150000 6.0429538800e-04 2.8286959000e-01 7.1652612000e-01 6.0367700100e-04 2.8453602000e-01 7.1486030000e-01
2.160000 6.1004779100e-04 2.8620960000e-01 7.1318036000e-01 6.0951410000e-04 2.8782943000e-01 7.1156105000e-01
2.170000 6.1575762100e-04 2.8953853000e-01 7.0984571000e-01 6.1531116600e-04 2.9111397000e-01 7.0827072000e-01
2.180000 6.2142426100e-04 2.9285592000e-01 7.0652266000e-01 6.2106744600e-04 2.9438918000e-01 7.0498975000e-01
2.190000 6.2704712900e-04 2.9616128000e-01 7.0321167000e-01 6.2678221900e-04 2.9765463000e-01 7.0171859000e-01
2.200000 6.3262595500e-04 2.9945423000e-01 6.9991314000e-01 6.3245506900e-04 3.0090993000e-01 6.9845761000e-01
2.210000 6.3816017100e-04 3.0273434000e-01 6.9662750000e-01 6.3808528600e-04 3.0415467000e-01 6.9520724000e-01
2.220000 6.4364933700e-04 3.0600120000e-01 6.9335515000e-01 6.4367229400e-04 3.0738846000e-01 6.9196787000e-01
2.230000 6.4909324900e-04 3.0925447000e-01 6.9009644000e-01 6.4921573700e-04 3.1061097000e-01 6.8873982000e-01
2.240000 6.5449147700e-04 3.1249377000e-01 6.8685174000e-01 6.5471504800e-04 3.1382182000e-01 6.8552347000e-01
